label,num_examples,figure_path,array_path
Atelectasis,329,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Atelectasis.png,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Atelectasis.npy
Cardiomegaly,193,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Cardiomegaly.png,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Cardiomegaly.npy
Effusion,578,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Effusion.png,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Effusion.npy
Infiltration,775,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Infiltration.png,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Infiltration.npy
Mass,218,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Mass.png,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Mass.npy
Nodule,108,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Nodule.png,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Nodule.npy
Pneumothorax,501,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Pneumothorax.png,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Pneumothorax.npy
Consolidation,34,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Consolidation.png,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Consolidation.npy
Edema,117,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Edema.png,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Edema.npy
Emphysema,101,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Emphysema.png,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Emphysema.npy
Fibrosis,20,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Fibrosis.png,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Fibrosis.npy
Pleural_Thickening,41,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Pleural_Thickening.png,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Pleural_Thickening.npy
Hernia,22,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Hernia.png,outputs/interpretability_notebook_densenet_pretrained_focal/avg_heatmaps/avg_Hernia.npy
